id,name,brewery_id,state,country,style,availability,abv
101274,Brett Pale Ale,32922,CA,US,American Pale Ale (APA), Year-round,5.0
202703,Helles,29911,CA,US,German Helles, Rotating,
336421,Vanilla Bean Milk Stout,52345,CA,US,English Sweet / Milk Stout, Year-round,5.5
252979,L'Euphoria,42975,CA,US,American IPA, Rotating,7.0
14544,Czar's Tar Imperial Stout,1972,CA,US,Russian Imperial Stout, Rotating,9.0
50511,Happy Way IPA,4410,CA,US,American IPA, Limited (brewed once),5.75
273077,Devil's Teeth - Bourbon Barrel-Aged With Almonds And Cocoa Nibs,31987,CA,US,English Old Ale, Limited (brewed once),11.0
309388,Travel By Map,36754,CA,US,American Imperial IPA, Limited (brewed once),9.4
12476,Hefeweizen With Lemon,5406,CA,US,German Hefeweizen, Year-round,
157656,Belmonter Weisse (Apricot),37448,CA,US,Berliner Weisse, Limited (brewed once),4.2
221119,Barrell Aged Cobaltic Porter,33824,CA,US,American Porter, Limited (brewed once),9.0
333002,Mad Seditious,32931,CA,US,American Wild Ale, Rotating,7.9
325658,Good Old Geoff,35210,CA,US,English Pale Mild Ale, Rotating,3.9
346714,BrutAle Death Metal,37448,CA,US,American Brut IPA, Rotating,8.7
76000,Blackberry Infused Jamaica Red,266,CA,US,Fruit and Field Beer, Limited (brewed once),6.5
93918,Dat Moi,28657,CA,US,American Lager, Limited (brewed once),4.8
74763,Pardon You,1337,CA,US,American Pale Ale (APA), Rotating,5.7
127728,Yvan The Great: Belgian-Style Blonde (Beer Camp Across America),140,CA,US,Belgian Blonde Ale, Limited (brewed once),6.3
66737,Alt-itude,22610,CA,US,German Altbier, Rotating,5.1
133214,Cream Dream,34029,CA,US,American Cream Ale, Limited (brewed once),5.0
180916,ESB With Wild Goose Coffee,16843,CA,US,English Extra Special / Strong Bitter (ESB), Limited (brewed once),
259729,Imperial Eclipse Stout - Apple-Brandy,14936,CA,US,American Imperial Stout, Rotating,11.0
307561,Prince Of Zamunda,50697,CA,US,American Stout, Year-round,5.7
218612,Keel Reserve,199,CA,US,American IPA, Limited (brewed once),4.2
215209,Snow Wolf - Blood Orange,2352,CA,US,American IPA, Rotating,7.0
265724,Off The Lip IPA,30458,CA,US,American IPA, Limited (brewed once),6.6
119221,Park Hoppy,34017,CA,US,American Pale Wheat Ale, Year-round,4.7
351841,El Lobo,2352,CA,US,Vienna Lager, Rotating,
183110,2014 Barrel Select Riesling Blonde Sour,29744,CA,US,American Wild Ale, Limited (brewed once),7.9
255922,Speedway Stout - Member Berries,396,CA,US,American Imperial Stout, Limited (brewed once),12.0
351661,Peach Honey Rye,29744,CA,US,American Wild Ale, Limited (brewed once),6.5
144205,Jolly Rodger '13 Aged In Rye Barrels,3835,CA,US,American Imperial Stout, Limited (brewed once),12.6
269997,Your Highnessness,31554,CA,US,Chile Beer, Rotating,5.8
351281,Analog,31987,CA,US,Belgian Saison, Rotating,8.6
24921,Green Death,3207,CA,US,American Imperial IPA, Rotating,
101162,Oktoberfest,396,CA,US,German Märzen / Oktoberfest, Fall,5.5
200529,Hops Down Under,2743,CA,US,American Lager, Limited (brewed once),6.6
107844,316 ESB,33490,CA,US,English Extra Special / Strong Bitter (ESB), Year-round,5.5
257855,Barrel #1882,18149,CA,US,American Stout, Limited (brewed once),13.0
13200,Surf City Blonde Ale,6067,CA,US,American Blonde Ale, Year-round,
352851,Hardnox IPA,51997,CA,US,American Imperial IPA, Rotating,8.0
205379,Silent Night,35481,CA,US,Belgian Strong Dark Ale, Rotating,11.0
74972,Crosseyed & Painless,16048,CA,US,American Imperial IPA, Rotating,8.8
66451,Petit Obscura,13065,CA,US,American Wild Ale, Limited (brewed once),4.0
287697,Rubus Rebus,33824,CA,US,Fruit and Field Beer, Limited (brewed once),4.8
312450,A message to you rudi,27946,CA,US,American Imperial IPA, Rotating,8.1
343277,"Shake, Rattle, & Roll",33824,CA,US,American Strong Ale, Limited (brewed once),13.7
322434,Dobis- Galaxy Dry-Hoped,32931,CA,US,American Pale Ale (APA), Limited (brewed once),5.7
88382,San Elijo Sour,28821,CA,US,American Wild Ale, Limited (brewed once),
315745,Hold My Beer,48782,CA,US,American IPA, Rotating,6.8
136598,Santa Maria Red Rye IPA,1337,CA,US,American IPA, Rotating,6.8
158339,Bourbon Barrel Aged Heritage Ale,610,CA,US,Scotch Ale / Wee Heavy, Rotating,8.0
331579,To Those Kids You're A Hero,47497,CA,US,American Imperial Stout, Rotating,10.0
268996,Big California Brown Ale,32280,CA,US,American Brown Ale, Rotating,8.4
271903,Berried Treasure,16393,CA,US,American Strong Ale, Rotating,9.0
145130,Red Tag Ale,34005,CA,US,Irish Red Ale, Year-round,5.4
158050,Underberg And Cigarettes (Collaboration With Good Karma),32931,CA,US,American Porter, Limited (brewed once),10.4
288001,Riveria Flyer The Amazing Thunder Lips,49529,CA,US,American IPA, Rotating,5.5
221513,Spells (Filiokus),43889,CA,US,American Imperial IPA, Rotating,8.0
203091,Peat Smoked Porter,41964,CA,US,Smoke Beer, Rotating,7.5
291493,Space Moth,46776,CA,US,American Pale Ale (APA), Limited (brewed once),5.9
84324,Motor Union: Rumble Seat,2743,CA,US,German Märzen / Oktoberfest, Limited (brewed once),5.5
231314,Dinkel Schwarz,22622,CA,US,German Schwarzbier, Limited (brewed once),5.5
230189,Lil' Opal (Bourbon Barrel),2210,CA,US,Belgian Saison, Limited (brewed once),5.9
118545,Liberty Station Sesquipedalian IPA,147,CA,US,American Imperial IPA, Limited (brewed once),11.0
37268,Jurgy's Amber Ale,15783,CA,US,American Amber / Red Ale, Year-round,5.5
271544,Bright Side Of The Bay,199,CA,US,American IPA, Limited (brewed once),7.3
306136,Crowd Pleaser Juicy IPA,30265,CA,US,American IPA, Limited (brewed once),7.1
13691,Jack Russell Blackberry Abbey Ale,2547,CA,US,Belgian Dubbel, Limited (brewed once),7.0
178246,James Blonde,32943,CA,US,American Blonde Ale, Year-round,
13903,Pier Rat Porter,1337,CA,US,Baltic Porter, Rotating,
319366,Juicy Ford,35259,CA,US,American Imperial IPA, Rotating,8.0
351869,American Pilsner,31059,CA,US,German Pilsner, Rotating,4.7
35991,Oatmeal Stout,219,CA,US,English Oatmeal Stout, Rotating,6.0
337723,I Draft IPAs,28657,CA,US,American IPA, Rotating,7.5
207902,Vicious Cycle,37448,CA,US,American Imperial Stout, Rotating,10.5
186200,Coffee Milk Stout - Stone Farms Chocolate Mint,147,CA,US,English Sweet / Milk Stout, Limited (brewed once),5.0
359935,Sky Castles,45240,CA,US,American IPA, Rotating,7.2
250230,Juicy Gossip,2175,CA,US,American IPA, Limited (brewed once),6.2
366042,Obscura Alba,13065,CA,US,American Wild Ale, Limited (brewed once),4.5
216491,Party Fumes,32931,CA,US,American IPA, Limited (brewed once),6.6
200342,Schooner Wet Hop,199,CA,US,American Pale Ale (APA), Rotating,5.5
5079,Bell In Hand,983,CA,US,American Adjunct Lager, Year-round,4.5
157854,Lono Mango IPA,1337,CA,US,American IPA, Rotating,
47689,Craftsman Barrel Aged Edgar (With Raspberries),2321,CA,US,Russian Imperial Stout, Limited (brewed once),9.5
145098,Juicebox Series - Sugar Pumpkin,31371,CA,US,Pumpkin Beer, Limited (brewed once),8.5
